               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040274,            0.005837,           0.0019435,             0.94909,             0.98485,             0.99456,             0.73143,            0.020867,           0.0056556,           0.0011295,             0.00895,             0.00895,             0.00895
                  37,             0.03994,           0.0059068,           0.0017256,             0.94738,             0.99024,             0.99402,              0.5638,            0.028894,           0.0053161,            0.001158,             0.00892,             0.00892,             0.00892
                  38,            0.039158,           0.0052613,           0.0017068,             0.97646,             0.98064,             0.99414,             0.72592,            0.021016,           0.0050125,           0.0010701,             0.00889,             0.00889,             0.00889
                  39,            0.039012,           0.0051999,           0.0015299,             0.90361,             0.87879,             0.97532,              0.7407,            0.019909,           0.0056701,          0.00092691,             0.00886,             0.00886,             0.00886
                  40,            0.037159,           0.0052991,           0.0015047,              0.9733,              0.9656,              0.9891,              0.6024,            0.023236,           0.0052504,            0.001177,             0.00883,             0.00883,             0.00883
                  41,            0.037264,           0.0052196,           0.0016308,               0.982,             0.97972,             0.99402,             0.71986,            0.019454,           0.0052026,          0.00094271,              0.0088,              0.0088,              0.0088
                  42,            0.040617,           0.0058648,           0.0013121,             0.98215,              0.9645,             0.99329,             0.78335,            0.017974,           0.0048505,          0.00080051,             0.00877,             0.00877,             0.00877
                  43,            0.037036,           0.0053409,           0.0013602,             0.98958,             0.94805,             0.99284,             0.73454,            0.020057,           0.0049832,          0.00094254,             0.00874,             0.00874,             0.00874
                  44,            0.035376,           0.0054864,           0.0014901,             0.99181,                   1,               0.995,             0.71129,            0.021377,           0.0046746,           0.0010867,             0.00871,             0.00871,             0.00871
                  45,            0.035266,           0.0050584,           0.0016509,             0.99067,                   1,               0.995,             0.72267,            0.021123,           0.0046693,            0.001035,             0.00868,             0.00868,             0.00868
                  46,            0.035195,           0.0052076,           0.0013242,             0.98507,             0.99568,               0.995,             0.78007,            0.023536,           0.0044067,          0.00084927,             0.00865,             0.00865,             0.00865
                  47,            0.038105,           0.0050824,           0.0014694,             0.98813,             0.98466,             0.99456,             0.75174,            0.021446,           0.0045561,           0.0011263,             0.00862,             0.00862,             0.00862
                  48,            0.035986,           0.0052845,            0.001777,             0.94824,             0.98485,             0.99456,             0.66643,            0.020302,           0.0048512,           0.0009494,             0.00859,             0.00859,             0.00859
                  49,            0.035684,            0.005257,           0.0012523,             0.97619,                   1,               0.995,             0.75197,            0.016703,           0.0046336,          0.00073694,             0.00856,             0.00856,             0.00856
                  50,            0.035327,            0.004966,           0.0010307,             0.98396,                   1,               0.995,             0.77079,            0.022243,           0.0044668,          0.00072126,             0.00853,             0.00853,             0.00853
                  51,            0.033426,           0.0047996,           0.0011366,             0.98532,                   1,               0.995,             0.73142,            0.020395,           0.0044353,          0.00091518,              0.0085,              0.0085,              0.0085
                  52,            0.038018,           0.0048578,            0.001268,             0.97541,             0.98485,             0.99369,             0.72495,            0.021733,           0.0046158,          0.00079376,             0.00847,             0.00847,             0.00847
                  53,            0.034703,            0.005023,           0.0014144,             0.97384,                   1,               0.995,             0.71151,             0.01836,           0.0044875,          0.00097681,             0.00844,             0.00844,             0.00844
                  54,            0.034954,           0.0049835,           0.0014691,             0.99605,              0.9961,               0.995,             0.72237,            0.020926,           0.0044101,           0.0010528,             0.00841,             0.00841,             0.00841
                  55,            0.033354,           0.0049773,           0.0014911,             0.99261,             0.99569,               0.995,             0.74738,            0.019456,            0.004392,          0.00091639,             0.00838,             0.00838,             0.00838
                  56,            0.035581,           0.0046691,           0.0013065,             0.99183,                   1,               0.995,             0.75353,            0.019498,           0.0042002,          0.00085894,             0.00835,             0.00835,             0.00835
                  57,            0.035072,           0.0048799,            0.001272,             0.99003,             0.99602,               0.995,             0.74507,            0.017632,           0.0043011,          0.00091444,             0.00832,             0.00832,             0.00832
                  58,            0.033143,           0.0051143,           0.0013576,             0.98382,             0.99431,               0.995,             0.71534,             0.01759,           0.0043484,           0.0008761,             0.00829,             0.00829,             0.00829
                  59,            0.032629,           0.0047589,            0.001303,             0.98489,                   1,               0.995,             0.66545,            0.019795,            0.004394,          0.00077517,             0.00826,             0.00826,             0.00826
                  60,             0.03445,           0.0051498,           0.0010911,             0.97253,                   1,               0.995,             0.78129,            0.019101,           0.0044098,          0.00084005,             0.00823,             0.00823,             0.00823
                  61,            0.032635,           0.0049067,           0.0011922,             0.96913,             0.98851,             0.99446,             0.71881,            0.020414,           0.0044105,          0.00088451,              0.0082,              0.0082,              0.0082
                  62,            0.034346,           0.0045855,           0.0012046,             0.97497,                   1,             0.99375,             0.70623,            0.020163,           0.0042682,          0.00081808,             0.00817,             0.00817,             0.00817
                  63,            0.033674,           0.0047302,           0.0011422,             0.96705,                   1,             0.99412,             0.71226,            0.019428,           0.0042283,          0.00069832,             0.00814,             0.00814,             0.00814
                  64,            0.034324,           0.0050217,           0.0011133,             0.98498,             0.98485,             0.99456,             0.70118,            0.018176,           0.0042173,          0.00081316,             0.00811,             0.00811,             0.00811
                  65,            0.033525,            0.004645,           0.0011668,              0.9887,                   1,               0.995,             0.79058,            0.016651,           0.0041415,          0.00078747,             0.00808,             0.00808,             0.00808
                  66,            0.033005,           0.0047817,           0.0011091,             0.99232,                   1,               0.995,             0.79007,            0.017467,           0.0040139,          0.00079056,             0.00805,             0.00805,             0.00805
                  67,            0.032322,           0.0048729,           0.0010726,             0.98132,                   1,               0.995,             0.73459,            0.016724,           0.0041975,            0.000821,             0.00802,             0.00802,             0.00802
                  68,            0.032378,           0.0047237,            0.001041,              0.9862,                   1,               0.995,             0.76406,            0.015589,           0.0041485,          0.00073454,             0.00799,             0.00799,             0.00799
                  69,            0.032514,           0.0046808,           0.0010495,              0.9778,                   1,               0.995,             0.72599,             0.01896,           0.0041225,          0.00064436,             0.00796,             0.00796,             0.00796
                  70,            0.032323,           0.0045569,          0.00098611,             0.98164,               0.993,               0.995,             0.80736,            0.015279,           0.0039097,           0.0006146,             0.00793,             0.00793,             0.00793
                  71,            0.031353,           0.0045534,          0.00082735,             0.95766,                   1,             0.99375,             0.77247,            0.018589,           0.0039931,          0.00063063,              0.0079,              0.0079,              0.0079
                  72,            0.031556,           0.0047225,          0.00089657,              0.9813,             0.99992,             0.99456,             0.76343,            0.018111,           0.0040015,          0.00066702,             0.00787,             0.00787,             0.00787
                  73,            0.031395,           0.0047309,           0.0011278,             0.97138,                   1,               0.995,             0.69564,            0.018112,           0.0039509,          0.00077585,             0.00784,             0.00784,             0.00784
                  74,            0.030262,           0.0047913,           0.0011013,             0.97818,             0.99961,             0.99279,             0.80939,            0.015401,           0.0039092,           0.0007477,             0.00781,             0.00781,             0.00781
                  75,            0.031406,           0.0045017,           0.0009752,             0.95866,                   1,             0.99103,             0.72589,            0.018674,           0.0040185,          0.00073671,             0.00778,             0.00778,             0.00778
                  76,            0.033467,            0.004712,            0.001026,             0.96546,                   1,             0.99005,             0.77938,            0.016639,           0.0039846,          0.00070576,             0.00775,             0.00775,             0.00775
                  77,            0.032493,           0.0045517,           0.0010844,             0.97167,                   1,             0.99412,             0.72494,            0.018417,           0.0039262,          0.00064722,             0.00772,             0.00772,             0.00772
                  78,            0.034052,           0.0047165,          0.00093711,             0.97446,                   1,             0.99412,             0.80964,             0.01739,           0.0039631,           0.0005654,             0.00769,             0.00769,             0.00769
                  79,            0.031942,           0.0044981,           0.0013583,             0.98915,             0.98485,             0.99456,             0.78723,            0.016533,           0.0037966,          0.00061501,             0.00766,             0.00766,             0.00766
                  80,            0.031022,            0.004742,            0.001132,               0.983,                   1,               0.995,             0.79445,             0.01563,            0.003972,           0.0007893,             0.00763,             0.00763,             0.00763
                  81,            0.029244,           0.0044558,           0.0011589,             0.99454,                   1,               0.995,             0.77813,            0.016394,           0.0039639,          0.00073889,              0.0076,              0.0076,              0.0076
                  82,            0.031866,            0.004893,            0.000973,              0.9906,                   1,               0.995,             0.77995,            0.015941,           0.0040087,           0.0005801,             0.00757,             0.00757,             0.00757
                  83,            0.031553,           0.0044133,          0.00083706,             0.98833,                   1,               0.995,             0.82524,            0.015828,           0.0039821,          0.00051184,             0.00754,             0.00754,             0.00754
                  84,            0.031329,           0.0046716,           0.0010322,             0.99354,                   1,               0.995,             0.68379,            0.017145,           0.0039379,          0.00053867,             0.00751,             0.00751,             0.00751
                  85,            0.032113,           0.0045836,          0.00072398,             0.99239,                   1,               0.995,             0.77406,            0.016771,           0.0039416,          0.00055138,             0.00748,             0.00748,             0.00748
                  86,            0.029678,           0.0044585,          0.00077706,             0.99511,                   1,               0.995,             0.74042,            0.014935,           0.0037734,          0.00063635,             0.00745,             0.00745,             0.00745
                  87,            0.031205,           0.0046988,          0.00083607,             0.99351,                   1,               0.995,             0.78909,            0.015396,           0.0036956,          0.00058216,             0.00742,             0.00742,             0.00742
                  88,            0.029473,           0.0042087,          0.00078774,             0.99451,                   1,               0.995,             0.78674,            0.014731,           0.0036969,          0.00055904,             0.00739,             0.00739,             0.00739
                  89,            0.029971,           0.0045839,          0.00086892,             0.99227,                   1,               0.995,             0.77998,            0.015094,           0.0037286,          0.00061709,             0.00736,             0.00736,             0.00736
                  90,            0.030049,           0.0046842,           0.0010229,             0.98851,             0.99081,               0.995,              0.8127,            0.015299,           0.0038813,           0.0006817,             0.00733,             0.00733,             0.00733
                  91,            0.030105,           0.0046869,          0.00092371,             0.99113,                   1,               0.995,             0.76564,            0.015299,           0.0039337,          0.00053993,              0.0073,              0.0073,              0.0073
                  92,            0.028656,           0.0042623,          0.00075419,             0.98837,                   1,               0.995,             0.75727,            0.014738,           0.0038185,          0.00052883,             0.00727,             0.00727,             0.00727
                  93,            0.030015,           0.0047354,          0.00087797,             0.99462,             0.98742,               0.995,              0.8038,            0.016074,           0.0037645,          0.00052254,             0.00724,             0.00724,             0.00724
                  94,            0.030962,           0.0045995,          0.00092916,             0.98694,                   1,               0.995,             0.78693,            0.016429,           0.0039305,          0.00059349,             0.00721,             0.00721,             0.00721
                  95,            0.030783,           0.0044432,          0.00079736,             0.97442,                   1,               0.995,             0.78396,            0.015116,           0.0040494,           0.0006847,             0.00718,             0.00718,             0.00718
                  96,            0.028599,           0.0046483,          0.00094635,             0.97763,                   1,             0.99456,             0.81145,            0.014727,           0.0038225,          0.00056534,             0.00715,             0.00715,             0.00715
                  97,            0.029577,           0.0044937,          0.00074025,             0.99297,             0.98485,             0.99414,             0.73505,             0.01692,           0.0038455,          0.00047356,             0.00712,             0.00712,             0.00712
                  98,            0.029437,           0.0046981,          0.00082989,              0.9981,             0.99942,               0.995,             0.78907,            0.015037,           0.0038994,          0.00061872,             0.00709,             0.00709,             0.00709
                  99,            0.029125,           0.0045179,          0.00092353,             0.99543,                   1,               0.995,             0.79459,            0.014124,           0.0037499,          0.00060625,             0.00706,             0.00706,             0.00706
                 100,            0.030452,           0.0041352,          0.00086257,             0.99265,                   1,               0.995,             0.80922,            0.014929,           0.0036484,          0.00055046,             0.00703,             0.00703,             0.00703
                 101,            0.028709,           0.0044121,          0.00087409,             0.97279,                   1,               0.995,             0.74458,            0.016251,           0.0038011,          0.00056831,               0.007,               0.007,               0.007
                 102,            0.030001,            0.004702,          0.00089381,             0.99105,                   1,               0.995,             0.79848,             0.01596,           0.0037807,          0.00062468,             0.00697,             0.00697,             0.00697
                 103,            0.029746,             0.00438,          0.00087909,               0.994,                   1,               0.995,              0.8001,            0.014874,           0.0036358,          0.00053101,             0.00694,             0.00694,             0.00694
                 104,            0.027914,           0.0042589,           0.0006908,             0.99125,                   1,               0.995,             0.79548,            0.014991,           0.0035295,          0.00045908,             0.00691,             0.00691,             0.00691
                 105,             0.03034,           0.0041225,          0.00066716,             0.98555,             0.99849,               0.995,             0.76222,            0.015756,           0.0035708,          0.00048142,             0.00688,             0.00688,             0.00688
                 106,            0.031215,           0.0043529,          0.00068279,             0.99289,                   1,               0.995,             0.80145,            0.014356,           0.0034757,          0.00047736,             0.00685,             0.00685,             0.00685
                 107,            0.029625,            0.004179,           0.0010345,             0.99064,             0.99924,               0.995,             0.82127,              0.0138,           0.0034596,           0.0005482,             0.00682,             0.00682,             0.00682
                 108,            0.030184,           0.0041577,          0.00097315,             0.99338,             0.99802,               0.995,              0.7836,            0.013946,           0.0036255,          0.00065969,             0.00679,             0.00679,             0.00679
                 109,            0.028959,           0.0044316,          0.00077801,             0.97807,                   1,             0.99456,              0.8195,            0.013316,           0.0036228,          0.00057192,             0.00676,             0.00676,             0.00676
                 110,            0.029396,           0.0044036,          0.00082066,             0.97556,                   1,             0.99456,             0.79575,            0.013391,           0.0036282,          0.00050531,             0.00673,             0.00673,             0.00673
                 111,             0.02781,           0.0042239,          0.00081861,             0.97302,              0.9957,             0.99456,             0.78871,            0.015347,            0.003647,          0.00050179,              0.0067,              0.0067,              0.0067
                 112,            0.028666,           0.0042861,          0.00077281,             0.97963,             0.98846,             0.99456,              0.7907,            0.015572,           0.0036565,          0.00051936,             0.00667,             0.00667,             0.00667
                 113,            0.028657,           0.0042972,          0.00096074,              0.9765,                   1,             0.99412,             0.79035,            0.014033,           0.0037457,          0.00057787,             0.00664,             0.00664,             0.00664
                 114,            0.027199,            0.004264,          0.00075046,             0.97729,                   1,             0.99412,             0.73744,            0.015788,           0.0038954,          0.00052033,             0.00661,             0.00661,             0.00661
                 115,             0.02886,           0.0045364,          0.00068248,             0.98408,                   1,               0.995,             0.81713,            0.015407,           0.0036618,          0.00052225,             0.00658,             0.00658,             0.00658
                 116,            0.029307,            0.004273,           0.0006881,             0.98056,                   1,               0.995,             0.79999,            0.014191,           0.0035845,          0.00046291,             0.00655,             0.00655,             0.00655
                 117,            0.028804,           0.0044071,          0.00072106,              0.9802,                   1,               0.995,              0.7778,            0.015771,           0.0035864,          0.00046257,             0.00652,             0.00652,             0.00652
                 118,             0.02708,           0.0041289,          0.00071049,             0.98005,                   1,             0.99456,             0.81099,            0.013837,           0.0035066,          0.00044832,             0.00649,             0.00649,             0.00649
                 119,            0.026453,           0.0043116,           0.0009084,             0.97866,                   1,               0.995,             0.79833,            0.015201,            0.003624,          0.00040684,             0.00646,             0.00646,             0.00646
                 120,            0.026451,           0.0040525,          0.00062385,             0.98504,                   1,               0.995,             0.79077,            0.014405,            0.003693,          0.00046065,             0.00643,             0.00643,             0.00643
