               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038137,           0.0073661,           0.0013147,             0.98172,                   1,             0.99235,             0.74365,            0.019358,            0.005907,           0.0009737,            0.008845,            0.008845,            0.008845
                  37,            0.035266,           0.0069451,           0.0012225,             0.98172,                   1,             0.99456,             0.76572,             0.02086,            0.005747,          0.00091753,            0.008812,            0.008812,            0.008812
                  38,            0.035266,           0.0068031,           0.0013231,             0.98043,                   1,             0.99456,             0.78327,            0.021117,            0.005873,          0.00094767,            0.008779,            0.008779,            0.008779
                  39,            0.034907,           0.0068221,           0.0012588,             0.98082,                   1,             0.99456,             0.73929,            0.023356,           0.0056682,          0.00098457,            0.008746,            0.008746,            0.008746
                  40,             0.03447,           0.0069239,           0.0012706,             0.97925,                   1,             0.99368,             0.75989,            0.018951,           0.0055722,          0.00089102,            0.008713,            0.008713,            0.008713
                  41,             0.03434,           0.0069217,           0.0011038,             0.98182,                   1,             0.99324,              0.6466,            0.022505,            0.005641,          0.00086036,             0.00868,             0.00868,             0.00868
                  42,            0.034996,           0.0059478,           0.0012841,             0.98182,             0.99954,             0.99279,             0.78503,            0.017824,           0.0056565,          0.00096483,            0.008647,            0.008647,            0.008647
                  43,            0.033602,           0.0067332,           0.0022712,             0.98166,             0.99672,             0.99456,             0.74097,             0.02066,           0.0056758,           0.0012392,            0.008614,            0.008614,            0.008614
                  44,            0.033949,            0.006828,           0.0016014,             0.97603,             0.99734,             0.99456,              0.7479,            0.022555,           0.0056075,           0.0010201,            0.008581,            0.008581,            0.008581
                  45,            0.034756,           0.0067047,           0.0011091,             0.98107,                   1,             0.99456,             0.75886,            0.021091,           0.0057204,          0.00078077,            0.008548,            0.008548,            0.008548
                  46,            0.034115,           0.0066488,           0.0010556,             0.97995,                   1,             0.99412,             0.78908,            0.019874,           0.0054504,          0.00077839,            0.008515,            0.008515,            0.008515
                  47,            0.032815,            0.006766,           0.0011026,             0.97995,                   1,             0.99456,               0.676,            0.019233,           0.0055736,           0.0007678,            0.008482,            0.008482,            0.008482
                  48,            0.033494,           0.0060994,           0.0011207,             0.98105,                   1,             0.99324,             0.70357,             0.01917,           0.0054872,          0.00077777,            0.008449,            0.008449,            0.008449
                  49,            0.033211,           0.0066214,           0.0010605,             0.97803,                   1,             0.99456,             0.68876,            0.022061,           0.0054439,          0.00086899,            0.008416,            0.008416,            0.008416
                  50,              0.0335,           0.0065383,           0.0011194,             0.97974,                   1,             0.99456,             0.80102,            0.018906,           0.0052827,          0.00082912,            0.008383,            0.008383,            0.008383
                  51,            0.033145,           0.0064204,           0.0010405,               0.981,                   1,               0.995,               0.779,            0.017143,           0.0052379,          0.00078616,             0.00835,             0.00835,             0.00835
                  52,            0.032624,           0.0060955,          0.00097022,             0.98249,                   1,               0.995,             0.70026,            0.020834,           0.0054163,          0.00075746,            0.008317,            0.008317,            0.008317
                  53,            0.031897,           0.0063454,          0.00099004,             0.98405,                   1,               0.995,             0.74468,            0.021261,           0.0054139,          0.00069699,            0.008284,            0.008284,            0.008284
                  54,            0.030345,           0.0063768,           0.0011078,             0.99272,                   1,               0.995,             0.77084,            0.016096,           0.0051574,          0.00077324,            0.008251,            0.008251,            0.008251
                  55,            0.031221,           0.0060477,          0.00099223,             0.99292,                   1,               0.995,             0.71951,            0.020733,           0.0052061,          0.00070133,            0.008218,            0.008218,            0.008218
                  56,            0.030075,           0.0060562,           0.0010529,             0.97559,                   1,             0.99456,             0.75027,            0.016443,           0.0052816,          0.00090418,            0.008185,            0.008185,            0.008185
                  57,             0.03141,           0.0060105,           0.0011423,             0.98101,             0.99714,             0.99456,              0.7351,            0.019621,           0.0051981,          0.00086975,            0.008152,            0.008152,            0.008152
                  58,            0.032428,           0.0068288,           0.0010294,             0.98599,                   1,               0.995,             0.80221,            0.015968,            0.004937,          0.00081921,            0.008119,            0.008119,            0.008119
                  59,            0.031808,           0.0062352,           0.0010608,             0.98931,                   1,               0.995,             0.76991,            0.016624,           0.0049359,           0.0010139,            0.008086,            0.008086,            0.008086
                  60,            0.031338,           0.0061531,            0.001075,             0.99604,              0.9995,               0.995,             0.73309,            0.020492,           0.0054069,          0.00073309,            0.008053,            0.008053,            0.008053
                  61,            0.029306,           0.0062155,           0.0011688,             0.98761,                   1,               0.995,             0.72141,              0.0193,           0.0050865,          0.00071416,             0.00802,             0.00802,             0.00802
                  62,            0.030324,           0.0061475,           0.0010279,             0.99425,                   1,               0.995,             0.76668,            0.018581,           0.0049996,          0.00071955,            0.007987,            0.007987,            0.007987
                  63,            0.030466,           0.0057895,          0.00099432,             0.99352,                   1,               0.995,             0.73951,            0.019414,           0.0050085,          0.00070519,            0.007954,            0.007954,            0.007954
                  64,             0.03078,           0.0061082,          0.00086421,              0.9711,             0.99291,             0.99456,               0.734,            0.018606,            0.005082,          0.00067582,            0.007921,            0.007921,            0.007921
